name;koodi;paavo.vuosi.offset;aggr;weight;ratio.base
Residential buildings RA;ra_asrak;-2;sum;;ra_raky
Dwellings RA;ra_asunn;-2;sum;;
Average floor area RA;ra_as_kpa;-2;mean;ra_asunn;
Dwellings in small houses RA;ra_pt_as;-2;sum;;ra_asunn
Dwellings in blocks of flats RA;ra_kt_as;-2;sum;;ra_asunn
Workplaces, total TP;tp_tyopy;-3;sum;;
Primary production TP;tp_alku_a;-3;sum;;tp_tyopy
Processing TP;tp_jalo_bf;-3;sum;;tp_tyopy
Services TP;tp_palv_gu;-3;sum;;tp_tyopy
A Agriculture, forestry and fishing TP;tp_a_maat;-3;sum;;tp_tyopy
B Mining and quarrying TP;tp_b_kaiv;-3;sum;;tp_tyopy
C Manufacturing TP;tp_c_teol;-3;sum;;tp_tyopy
D Electricity, gas, steam and air conditioning supply TP;tp_d_ener;-3;sum;;tp_tyopy
E Water supply, sewerage, waste management TP;tp_e_vesi;-3;sum;;tp_tyopy
F Construction TP;tp_f_rake;-3;sum;;tp_tyopy
G Wholesale and retail trade, repair of motor vehicles TP;tp_g_kaup;-3;sum;;tp_tyopy
H Transportation and storage TP;tp_h_kulj;-3;sum;;tp_tyopy
I Accommodation and food service activities TP;tp_i_majo;-3;sum;;tp_tyopy
J Information and communication TP;tp_j_info;-3;sum;;tp_tyopy
K Financial and insurance activities TP;tp_k_raho;-3;sum;;tp_tyopy
L Real estate activities TP;tp_l_kiin;-3;sum;;tp_tyopy
M Professional, scientific and technical activities TP;tp_m_erik;-3;sum;;tp_tyopy
N Administrative and support service activities TP;tp_n_hall;-3;sum;;tp_tyopy
O Public administration and defence TP;tp_o_julk;-3;sum;;tp_tyopy
P Education TP;tp_p_koul;-3;sum;;tp_tyopy
Q Human health and social work activities TP;tp_q_terv;-3;sum;;tp_tyopy
R Arts, entertainment and recreation TP;tp_r_taid;-3;sum;;tp_tyopy
R Arts, entertainment and recreation TP;tp_s_muup;-3;sum;;tp_tyopy
T Activities of households as employers TP;tp_t_koti;-3;sum;;tp_tyopy
U Activities of extraterritorial organisations and bodies TP;tp_u_kans;-3;sum;;tp_tyopy
X Industry unknown TP;tp_x_tunt;-3;sum;;tp_tyopy
Inhabitants PT;pt_vakiy;-3;sum;;
Labour force PT;pt_tyovy;-3;sum;;pt_vakiy
Employed PT;pt_tyoll;-3;sum;;pt_vakiy
Unemployed PT;pt_tyott;-3;sum;;pt_vakiy
Persons outside the labour force PT;pt_tyovu;-3;sum;;pt_vakiy
Children aged 0-14 years PT;pt_0_14;-3;sum;;pt_vakiy
Students PT;pt_opisk;-3;sum;;pt_vakiy
Pensioners PT;pt_elakel;-3;sum;;pt_vakiy
Others PT;pt_muut;-3;sum;;pt_vakiy
